play_name,character,act,scene,sentence,text
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,36,"Gravell’d the pastors of the German church,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,37,And made the flowering pride of Wertenberg
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,38,"Swarm to my problems, as the infernal spirits"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,39,"On sweet Musaeus when he came to hell,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,40,"Will be as cunning as Agrippa was,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,41,Whose shadow made all Europe honour him.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,"Faustus, these books, thy wit, and our experience,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,Shall make all nations to canonize us.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,3,"As Indian Moors obey their Spanish lords,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,4,So shall the spirits of every element
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,5,Be always serviceable to us three;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,6,Like lions shall they guard us when we please;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,7,"Like Almain rutters with their horsemen’s staves,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,8,"Or Lapland giants, trotting by our sides;"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,VALDES,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,"Sometimes like women, or unwedded maids,"
