play_name,character,act,scene,sentence,text
The Jew of Malta,FIRST KNIGHT,ACT I.,none,1,Have you determin'd what to say to them?
The Jew of Malta,FERNEZE,ACT I.,none,1,"Yes; give me leave:?”and, Hebrews, now come near."
The Jew of Malta,FERNEZE,ACT I.,none,2,]From the Emperor of Turkey is arriv'd
The Jew of Malta,FERNEZE,ACT I.,none,3,"Great Selim Calymath, his highness' son,"
The Jew of Malta,FERNEZE,ACT I.,none,4,To levy of us ten years' tribute past:
The Jew of Malta,FERNEZE,ACT I.,none,5,"Now, then, here know that it concerneth us."
The Jew of Malta,BARABAS,ACT I.,none,1,"Then, good my lord, to keep your quiet still,"
The Jew of Malta,BARABAS,ACT I.,none,2,Your lordship shall do well to let them have it.
The Jew of Malta,FERNEZE,ACT I.,none,1,"Soft, Barabas! there's more 'longs to't than so."
The Jew of Malta,FERNEZE,ACT I.,none,2,"To what this ten years' tribute will amount,"
The Jew of Malta,FERNEZE,ACT I.,none,3,"That we have cast, but cannot compass it"
The Jew of Malta,FERNEZE,ACT I.,none,4,"By reason of the wars, that robb'd our store;"
The Jew of Malta,FERNEZE,ACT I.,none,5,And therefore are we to request your aid.
The Jew of Malta,BARABAS,ACT I.,none,1,"Alas, my lord, we are no soldiers!"
The Jew of Malta,BARABAS,ACT I.,none,2,And what's our aid against so great a prince?
The Jew of Malta,FIRST KNIGHT,ACT I.,none,1,"Tut, Jew, we know thou art no soldier:"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,2,"Thou art a merchant and a money'd man,"
The Jew of Malta,FIRST KNIGHT,ACT I.,none,3,"And 'tis thy money, Barabas, we seek."
The Jew of Malta,BARABAS,ACT I.,none,1,"How, my lord! my money!"
The Jew of Malta,FERNEZE,ACT I.,none,1,Thine and the rest;
The Jew of Malta,FERNEZE,ACT I.,none,2,"For, to be short, amongst you't must be had."
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Alas, my lord, the most of us are poor!"
The Jew of Malta,FERNEZE,ACT I.,none,1,Then let the rich increase your portions.
The Jew of Malta,BARABAS,ACT I.,none,1,Are strangers with your tribute to be tax'd?
The Jew of Malta,SECOND KNIGHT,ACT I.,none,1,Have strangers leave with us to get their wealth?
The Jew of Malta,SECOND KNIGHT,ACT I.,none,2,Then let them with us contribute.
The Jew of Malta,BARABAS,ACT I.,none,1,How! equally?
The Jew of Malta,FERNEZE,ACT I.,none,1,"No, Jew, like infidels;"
The Jew of Malta,FERNEZE,ACT I.,none,2,"For through our sufferance of your hateful lives,"
The Jew of Malta,FERNEZE,ACT I.,none,3,"Who stand accursed in the sight of heaven,"
The Jew of Malta,FERNEZE,ACT I.,none,4,"These taxes and afflictions are befall'n,"
The Jew of Malta,FERNEZE,ACT I.,none,5,And therefore thus we are determined.
The Jew of Malta,FERNEZE,ACT I.,none,6,Read there the articles of our decrees.
The Jew of Malta,OFFICER,ACT I.,none,1,"FIRST, THE TRIBUTE-MONEY OF THE TURKS"
The Jew of Malta,OFFICER,ACT I.,none,2,"SHALL ALL BE LEVIED AMONGST THE JEWS, AND EACH OF THEM TO PAY"
The Jew of Malta,BARABAS,ACT I.,none,1,How! half his estate!?”I hope you mean not mine.
The Jew of Malta,FERNEZE,ACT I.,none,1,Read on.
The Jew of Malta,OFFICER,ACT I.,none,1,"SECONDLY, HE THAT DENIES  TO PAY, SHALL"
The Jew of Malta,BARABAS,ACT I.,none,1,"How! a Christian!?”Hum,?”what's here to do?"
